State,Starting Colonies,Maximum Colonies,Lost Colonies,Percent Loss,Added Colonies,Renovated Colonies,Percent Renovated,Year,loss_rate,quarter_label,Season,Region,year_extract_colony,Varroa Mites (Percent),Other pests and parasites (Percent),Diseases (percent),Pesticides (percent),Other (percent),Unknown (percent),year_extract_stressor
Kansas,4600.0,7000.0,1600.0,23.0,450.0,70.0,1.0,2015-Q1,22.857142857142858,Q1,Winter,Midwest,2015,32.7,1.3,1.1,14.2,9.5,3.4,2015
Kentucky,7500.0,10500.0,4100.0,39.0,250.0,0.0,0.0,2015-Q1,39.04761904761905,Q1,Winter,South,2015,10.8,10.7,2.5,2.5,22.7,12.9,2015
Louisiana,51000.0,51000.0,8000.0,16.0,3100.0,6500.0,13.0,2015-Q1,15.686274509803921,Q1,Winter,South,2015,17.2,4.7,4.3,1.7,3.1,2.1,2015
Maine,3100.0,6500.0,380.0,6.0,20.0,0.0,0.0,2015-Q1,5.846153846153846,Q1,Winter,Northeast,2015,4.4,0.1,,,7.5,1.9,2015
Maryland,7500.0,10000.0,4100.0,41.0,1600.0,870.0,9.0,2015-Q1,41.0,Q1,Winter,South,2015,10.1,1.8,0.4,,24.2,12.4,2015
Massachusetts,2900.0,4600.0,1000.0,22.0,260.0,120.0,3.0,2015-Q1,21.73913043478261,Q1,Winter,Northeast,2015,23.5,3.5,2.1,2.8,7.6,4.7,2015
Michigan,16500.0,60000.0,11500.0,19.0,7500.0,2400.0,4.0,2015-Q1,19.166666666666668,Q1,Winter,Midwest,2015,14.3,3.1,1.1,1.6,8.3,4.6,2015
Minnesota,28000.0,74000.0,3700.0,5.0,690.0,530.0,1.0,2015-Q1,5.0,Q1,Winter,Midwest,2015,1.4,0.1,,0.1,1.6,2.1,2015
Mississippi,34000.0,76000.0,8500.0,11.0,22000.0,7500.0,10.0,2015-Q1,11.18421052631579,Q1,Winter,South,2015,9.4,8.2,0.1,2.1,1.2,1.1,2015
Missouri,12000.0,13000.0,2000.0,15.0,220.0,910.0,7.0,2015-Q1,15.384615384615385,Q1,Winter,Midwest,2015,13.1,6.0,2.2,4.2,11.8,6.3,2015
Montana,8500.0,36000.0,2200.0,6.0,1400.0,1100.0,3.0,2015-Q1,6.111111111111111,Q1,Winter,West,2015,8.7,0.5,0.6,0.8,2.3,7.9,2015
Nebraska,10000.0,31000.0,2600.0,8.0,120.0,310.0,1.0,2015-Q1,8.38709677419355,Q1,Winter,Midwest,2015,5.9,0.1,0.1,0.5,0.3,3.0,2015
New Jersey,6000.0,9000.0,1100.0,12.0,570.0,1600.0,18.0,2015-Q1,12.222222222222221,Q1,Winter,Northeast,2015,40.1,13.2,30.4,11.1,19.5,16.7,2015
New Mexico,7000.0,7000.0,690.0,10.0,190.0,600.0,9.0,2015-Q1,9.857142857142858,Q1,Winter,West,2015,17.1,0.1,,0.2,1.3,0.4,2015
New York,27000.0,30000.0,6500.0,22.0,430.0,950.0,3.0,2015-Q1,21.666666666666668,Q1,Winter,Northeast,2015,7.6,2.6,0.5,4.4,12.4,8.3,2015
North Carolina,24000.0,26000.0,7000.0,27.0,6000.0,690.0,3.0,2015-Q1,26.923076923076923,Q1,Winter,South,2015,35.5,2.3,0.1,22.9,6.2,12.2,2015
North Dakota,57000.0,120000.0,620.0,1.0,1800.0,530.0,,2015-Q1,0.5166666666666666,Q1,Winter,Midwest,2015,1.7,1.7,,,2.5,0.1,2015
Ohio,18000.0,22000.0,10500.0,48.0,5000.0,3300.0,15.0,2015-Q1,47.72727272727273,Q1,Winter,Midwest,2015,10.7,1.6,1.0,3.0,17.8,3.1,2015
Oklahoma,9500.0,26000.0,6000.0,23.0,2600.0,260.0,1.0,2015-Q1,23.076923076923077,Q1,Winter,South,2015,14.5,10.1,0.5,,2.1,2.9,2015
Oregon,77000.0,87000.0,6500.0,8.0,4300.0,2400.0,3.0,2015-Q1,7.471264367816093,Q1,Winter,West,2015,20.2,2.0,0.4,0.6,1.6,1.1,2015
Pennsylvania,14000.0,21000.0,6500.0,31.0,360.0,0.0,0.0,2015-Q1,30.952380952380953,Q1,Winter,Northeast,2015,28.1,6.3,1.9,1.9,17.8,6.3,2015
South Carolina,17000.0,17500.0,2700.0,15.0,2700.0,1400.0,8.0,2015-Q1,15.428571428571427,Q1,Winter,South,2015,10.5,2.3,0.2,0.3,3.6,2.9,2015
South Dakota,50000.0,97000.0,4600.0,5.0,8500.0,2800.0,3.0,2015-Q1,4.742268041237113,Q1,Winter,Midwest,2015,1.2,0.9,0.3,0.5,1.2,1.8,2015
Tennessee,9500.0,9500.0,2000.0,21.0,1000.0,190.0,2.0,2015-Q1,21.052631578947366,Q1,Winter,South,2015,22.2,17.1,,,13.0,4.4,2015
Texas,191000.0,250000.0,26000.0,10.0,82000.0,51000.0,20.0,2015-Q1,10.4,Q1,Winter,South,2015,21.5,12.2,5.0,11.1,2.3,6.2,2015
Utah,6000.0,24000.0,3300.0,14.0,2500.0,290.0,1.0,2015-Q1,13.750000000000002,Q1,Winter,West,2015,13.6,0.9,0.1,4.4,3.0,0.5,2015
Vermont,5500.0,5500.0,700.0,13.0,1200.0,20.0,,2015-Q1,12.727272727272727,Q1,Winter,Northeast,2015,2.3,5.6,,,5.8,4.9,2015
Virginia,8000.0,9000.0,2500.0,28.0,800.0,460.0,5.0,2015-Q1,27.77777777777778,Q1,Winter,South,2015,19.0,9.4,2.3,,9.8,11.9,2015
Washington,52000.0,105000.0,14000.0,13.0,13500.0,9000.0,9.0,2015-Q1,13.333333333333334,Q1,Winter,West,2015,21.5,0.5,0.3,3.6,6.0,1.1,2015
West Virginia,4700.0,6000.0,1800.0,30.0,570.0,60.0,1.0,2015-Q1,30.0,Q1,Winter,South,2015,18.0,7.3,2.2,2.1,14.6,6.1,2015
Wisconsin,16500.0,29000.0,8000.0,28.0,3100.0,2500.0,9.0,2015-Q1,27.586206896551722,Q1,Winter,Midwest,2015,18.8,1.6,2.7,8.5,8.3,5.8,2015
Wyoming,5500.0,12000.0,2000.0,17.0,2000.0,1400.0,12.0,2015-Q1,16.666666666666664,Q1,Winter,West,2015,0.9,,,,0.7,,2015
Other,3410.0,8990.0,2080.0,23.0,870.0,150.0,2.0,2015-Q1,23.136818687430477,Q1,Winter,Other,2015,0.8,0.1,,0.1,0.9,,2015
Alabama,7500.0,7500.0,860.0,12.0,1900.0,680.0,9.0,2015-Q2,11.466666666666667,Q2,Spring,South,2015,16.7,42.5,,2.3,3.2,4.1,2015
Arizona,33000.0,33000.0,5500.0,17.0,19500.0,7000.0,21.0,2015-Q2,16.666666666666664,Q2,Spring,West,2015,8.4,32.1,0.5,20.1,28.2,0.3,2015
Arkansas,13500.0,13500.0,1900.0,14.0,11500.0,5500.0,41.0,2015-Q2,14.074074074074074,Q2,Spring,South,2015,65.9,63.4,7.0,22.6,27.4,9.3,2015
California,1040000.0,1050000.0,104000.0,10.0,170000.0,285000.0,27.0,2015-Q2,9.904761904761905,Q2,Spring,West,2015,50.9,21.5,7.8,23.0,14.2,3.1,2015
Colorado,12000.0,25000.0,1900.0,8.0,6000.0,3500.0,14.0,2015-Q2,7.6,Q2,Spring,West,2015,38.6,1.8,4.6,2.8,3.4,6.6,2015
Connecticut,3000.0,3000.0,80.0,3.0,1100.0,150.0,5.0,2015-Q2,2.666666666666667,Q2,Spring,Northeast,2015,10.2,0.4,1.9,0.8,1.0,0.7,2015
Florida,210000.0,215000.0,35000.0,16.0,44000.0,24000.0,11.0,2015-Q2,16.27906976744186,Q2,Spring,South,2015,44.2,26.4,2.7,17.7,13.6,5.4,2015
Georgia,114000.0,124000.0,23000.0,19.0,25000.0,19000.0,15.0,2015-Q2,18.548387096774192,Q2,Spring,South,2015,52.8,17.5,2.9,28.7,11.5,4.1,2015
Hawaii,13500.0,13500.0,120.0,1.0,1100.0,1200.0,9.0,2015-Q2,0.8888888888888888,Q2,Spring,West,2015,60.1,61.0,0.3,0.1,3.2,0.1,2015
Idaho,62000.0,72000.0,6500.0,9.0,16500.0,10500.0,15.0,2015-Q2,9.027777777777777,Q2,Spring,West,2015,25.5,6.7,6.5,6.0,13.7,0.3,2015
Illinois,9500.0,9500.0,1300.0,14.0,6000.0,1500.0,16.0,2015-Q2,13.684210526315791,Q2,Spring,Midwest,2015,10.3,3.7,0.2,2.5,2.3,2.4,2015
Indiana,8000.0,12500.0,1300.0,10.0,4900.0,4300.0,34.0,2015-Q2,10.4,Q2,Spring,Midwest,2015,15.4,1.8,7.0,0.5,4.4,2.0,2015
Iowa,12500.0,24000.0,1400.0,6.0,6500.0,3100.0,13.0,2015-Q2,5.833333333333333,Q2,Spring,Midwest,2015,21.5,5.1,2.9,7.8,2.7,1.9,2015
Kansas,6000.0,7000.0,670.0,10.0,2800.0,420.0,6.0,2015-Q2,9.571428571428571,Q2,Spring,Midwest,2015,14.4,2.4,0.9,0.1,3.5,4.9,2015
Kentucky,7500.0,8500.0,980.0,12.0,3600.0,1500.0,18.0,2015-Q2,11.529411764705882,Q2,Spring,South,2015,21.7,18.2,5.3,1.8,9.5,2.9,2015
Louisiana,44000.0,45000.0,1800.0,4.0,6500.0,8000.0,18.0,2015-Q2,4.0,Q2,Spring,South,2015,36.4,3.7,0.2,1.1,5.0,0.5,2015
Maine,4600.0,30000.0,3200.0,11.0,3500.0,700.0,2.0,2015-Q2,10.666666666666668,Q2,Spring,Northeast,2015,72.1,34.5,0.1,34.5,0.5,0.1,2015
Maryland,8000.0,11000.0,370.0,3.0,2600.0,710.0,7.0,2015-Q2,3.3636363636363638,Q2,Spring,South,2015,4.9,1.3,0.2,2.5,1.6,1.5,2015
Massachusetts,4100.0,14000.0,320.0,2.0,940.0,510.0,4.0,2015-Q2,2.2857142857142856,Q2,Spring,Northeast,2015,66.8,61.7,0.2,61.8,4.4,3.1,2015
Michigan,58000.0,88000.0,9500.0,11.0,13500.0,5500.0,6.0,2015-Q2,10.795454545454545,Q2,Spring,Midwest,2015,26.9,13.0,0.6,9.1,16.4,3.1,2015
Minnesota,71000.0,125000.0,12500.0,10.0,20000.0,21000.0,17.0,2015-Q2,10.0,Q2,Spring,Midwest,2015,25.4,6.2,1.4,16.5,10.1,9.3,2015
Mississippi,89000.0,89000.0,11000.0,12.0,5500.0,10000.0,11.0,2015-Q2,12.359550561797752,Q2,Spring,South,2015,10.1,6.0,0.3,0.1,2.3,1.7,2015
Missouri,11500.0,12500.0,500.0,4.0,1900.0,1800.0,14.0,2015-Q2,4.0,Q2,Spring,Midwest,2015,5.1,6.2,3.1,1.6,1.0,7.4,2015
Montana,36000.0,210000.0,4200.0,2.0,14000.0,33000.0,16.0,2015-Q2,2.0,Q2,Spring,West,2015,9.0,0.9,0.8,5.3,1.6,,2015
Nebraska,29000.0,68000.0,4100.0,6.0,15500.0,4600.0,7.0,2015-Q2,6.029411764705882,Q2,Spring,Midwest,2015,6.5,6.9,,1.4,2.1,1.5,2015
New Jersey,8500.0,19000.0,1800.0,10.0,2100.0,2900.0,15.0,2015-Q2,9.473684210526317,Q2,Spring,Northeast,2015,52.5,3.6,0.3,26.1,1.0,2.4,2015
New Mexico,6500.0,8500.0,1000.0,12.0,1500.0,330.0,4.0,2015-Q2,11.76470588235294,Q2,Spring,West,2015,38.8,,15.5,5.9,0.4,2.7,2015
New York,24000.0,34000.0,1100.0,3.0,11000.0,1500.0,4.0,2015-Q2,3.2352941176470593,Q2,Spring,Northeast,2015,19.1,12.5,4.5,4.4,3.3,1.1,2015
North Carolina,19500.0,23000.0,1800.0,8.0,5500.0,3300.0,14.0,2015-Q2,7.82608695652174,Q2,Spring,South,2015,51.0,14.3,0.3,3.5,5.8,3.0,2015
North Dakota,121000.0,450000.0,29000.0,6.0,39000.0,61000.0,14.0,2015-Q2,6.444444444444445,Q2,Spring,Midwest,2015,15.5,3.0,0.1,4.3,4.6,0.3,2015
Ohio,17500.0,19000.0,2100.0,11.0,10000.0,6000.0,32.0,2015-Q2,11.052631578947368,Q2,Spring,Midwest,2015,15.8,4.1,3.0,11.9,11.2,29.0,2015
Oklahoma,25000.0,27000.0,2200.0,8.0,5500.0,2200.0,8.0,2015-Q2,8.148148148148149,Q2,Spring,South,2015,66.1,6.3,,0.1,7.0,1.9,2015
Oregon,82000.0,95000.0,5500.0,6.0,14500.0,9500.0,10.0,2015-Q2,5.7894736842105265,Q2,Spring,West,2015,39.3,20.9,13.2,16.0,5.8,0.4,2015
Pennsylvania,15500.0,19000.0,1600.0,8.0,8500.0,2600.0,14.0,2015-Q2,8.421052631578947,Q2,Spring,Northeast,2015,11.4,5.8,2.6,1.6,6.7,2.1,2015
South Carolina,17500.0,18500.0,950.0,5.0,1100.0,2000.0,11.0,2015-Q2,5.135135135135135,Q2,Spring,South,2015,29.9,5.4,0.5,1.4,3.7,0.7,2015
South Dakota,100000.0,290000.0,21000.0,7.0,27000.0,23000.0,8.0,2015-Q2,7.241379310344828,Q2,Spring,Midwest,2015,9.8,11.1,1.8,2.0,1.4,1.5,2015
Tennessee,7500.0,7500.0,730.0,10.0,3600.0,920.0,12.0,2015-Q2,9.733333333333333,Q2,Spring,South,2015,47.8,26.3,1.8,9.8,2.6,3.0,2015
Texas,305000.0,315000.0,33000.0,11.0,76000.0,94000.0,30.0,2015-Q2,10.476190476190476,Q2,Spring,South,2015,19.3,22.9,2.5,6.6,7.4,3.0,2015
Utah,24000.0,27000.0,3400.0,13.0,10000.0,3900.0,14.0,2015-Q2,12.592592592592592,Q2,Spring,West,2015,27.2,10.8,1.5,12.3,5.6,1.2,2015
Vermont,6000.0,6000.0,100.0,2.0,580.0,50.0,1.0,2015-Q2,1.6666666666666667,Q2,Spring,Northeast,2015,3.7,1.9,0.1,,1.3,0.1,2015
Virginia,7500.0,7500.0,270.0,4.0,2100.0,430.0,6.0,2015-Q2,3.5999999999999996,Q2,Spring,South,2015,26.2,13.0,1.8,0.2,3.0,4.5,2015
Washington,105000.0,127000.0,5000.0,4.0,15000.0,13000.0,10.0,2015-Q2,3.937007874015748,Q2,Spring,West,2015,48.7,0.2,2.2,2.0,3.2,0.5,2015
West Virginia,4700.0,4700.0,570.0,12.0,2900.0,590.0,13.0,2015-Q2,12.127659574468085,Q2,Spring,South,2015,15.6,8.3,0.6,2.7,4.6,4.4,2015
Wisconsin,25000.0,65000.0,4600.0,7.0,10000.0,5500.0,9.0,2015-Q2,7.076923076923077,Q2,Spring,Midwest,2015,35.3,5.6,1.0,8.2,15.2,2.3,2015
Wyoming,12000.0,25000.0,3200.0,13.0,7500.0,5000.0,20.0,2015-Q2,12.8,Q2,Spring,West,2015,19.1,17.9,0.8,3.6,8.3,2.4,2015
Other,8600.0,11200.0,1940.0,17.0,4140.0,1960.0,18.0,2015-Q2,17.32142857142857,Q2,Spring,Other,2015,36.3,9.1,,,0.1,,2015
Alabama,8500.0,9000.0,1400.0,16.0,160.0,260.0,3.0,2015-Q3,15.555555555555555,Q3,Summer,South,2015,63.1,70.6,,2.6,2.2,17.7,2015
Arizona,40000.0,40000.0,6000.0,15.0,4300.0,15500.0,39.0,2015-Q3,15.0,Q3,Summer,West,2015,53.5,24.8,5.4,17.3,7.6,5.1,2015
Arkansas,23000.0,30000.0,9000.0,30.0,500.0,210.0,1.0,2015-Q3,30.0,Q3,Summer,South,2015,69.2,32.4,0.9,5.0,1.8,1.4,2015
California,730000.0,800000.0,76000.0,10.0,40000.0,93000.0,12.0,2015-Q3,9.5,Q3,Summer,West,2015,39.9,20.4,12.5,19.6,15.0,4.7,2015
Colorado,29000.0,30000.0,4500.0,15.0,1400.0,1400.0,5.0,2015-Q3,15.0,Q3,Summer,West,2015,50.5,1.5,2.7,16.5,3.7,2.7,2015
Connecticut,3700.0,3700.0,50.0,1.0,190.0,440.0,12.0,2015-Q3,1.3513513513513513,Q3,Summer,Northeast,2015,39.3,1.2,0.4,1.5,7.8,,2015
Florida,164000.0,220000.0,36000.0,16.0,37000.0,29000.0,13.0,2015-Q3,16.363636363636363,Q3,Summer,South,2015,39.5,21.7,6.7,22.9,21.9,3.4,2015
Georgia,108000.0,110000.0,13000.0,12.0,19500.0,15500.0,14.0,2015-Q3,11.818181818181818,Q3,Summer,South,2015,47.6,16.2,3.6,21.2,8.9,3.6,2015
Hawaii,14500.0,14500.0,2700.0,19.0,1200.0,5500.0,38.0,2015-Q3,18.620689655172416,Q3,Summer,West,2015,78.1,80.5,0.1,0.1,2.5,,2015
Idaho,80000.0,128000.0,14000.0,11.0,5500.0,11500.0,9.0,2015-Q3,10.9375,Q3,Summer,West,2015,46.8,5.2,1.7,10.0,2.2,6.4,2015
Illinois,14000.0,14000.0,1400.0,10.0,1300.0,1100.0,8.0,2015-Q3,10.0,Q3,Summer,Midwest,2015,7.7,3.0,0.6,0.4,3.4,1.0,2015
Indiana,15000.0,15000.0,1600.0,11.0,1400.0,420.0,3.0,2015-Q3,10.666666666666668,Q3,Summer,Midwest,2015,13.7,10.3,4.8,8.2,1.0,6.2,2015
Iowa,29000.0,37000.0,3000.0,8.0,640.0,680.0,2.0,2015-Q3,8.108108108108109,Q3,Summer,Midwest,2015,17.4,5.8,0.1,4.7,5.6,3.4,2015
Kansas,9000.0,9500.0,1000.0,11.0,100.0,160.0,2.0,2015-Q3,10.526315789473683,Q3,Summer,Midwest,2015,22.5,16.2,0.2,14.1,14.8,1.7,2015
Kentucky,10000.0,10000.0,1300.0,13.0,170.0,550.0,6.0,2015-Q3,13.0,Q3,Summer,South,2015,40.4,11.3,1.2,6.5,9.0,2.0,2015
Louisiana,50000.0,55000.0,2000.0,4.0,2300.0,1800.0,3.0,2015-Q3,3.6363636363636362,Q3,Summer,South,2015,25.9,2.3,,1.6,3.0,0.2,2015
Maine,6000.0,6000.0,450.0,8.0,410.0,140.0,2.0,2015-Q3,7.5,Q3,Summer,Northeast,2015,9.9,3.4,13.2,,2.6,7.8,2015
Maryland,7000.0,7500.0,680.0,9.0,730.0,70.0,1.0,2015-Q3,9.066666666666666,Q3,Summer,South,2015,26.9,19.1,2.9,22.8,7.1,2.0,2015
Massachusetts,7500.0,7500.0,560.0,8.0,290.0,400.0,5.0,2015-Q3,7.466666666666668,Q3,Summer,Northeast,2015,16.3,2.9,0.4,2.1,2.5,0.3,2015
Michigan,89000.0,89000.0,7000.0,8.0,3300.0,3800.0,4.0,2015-Q3,7.865168539325842,Q3,Summer,Midwest,2015,44.6,16.3,7.3,13.7,1.8,8.8,2015
Minnesota,133000.0,136000.0,32000.0,24.0,640.0,2300.0,2.0,2015-Q3,23.52941176470588,Q3,Summer,Midwest,2015,33.3,14.6,7.4,27.4,7.0,7.2,2015
Mississippi,23000.0,34000.0,3500.0,10.0,260.0,110.0,,2015-Q3,10.294117647058822,Q3,Summer,South,2015,45.5,2.2,,1.1,3.8,1.4,2015
Missouri,14000.0,14000.0,1200.0,9.0,700.0,630.0,5.0,2015-Q3,8.571428571428571,Q3,Summer,Midwest,2015,11.1,11.7,3.0,2.0,2.1,1.4,2015
Montana,140000.0,156000.0,10500.0,7.0,3200.0,10000.0,6.0,2015-Q3,6.730769230769231,Q3,Summer,West,2015,52.5,16.4,10.7,2.3,6.4,5.3,2015
Nebraska,67000.0,77000.0,6000.0,8.0,500.0,6000.0,8.0,2015-Q3,7.792207792207792,Q3,Summer,Midwest,2015,33.2,10.3,10.9,13.2,4.6,4.3,2015
New Jersey,18500.0,18500.0,210.0,1.0,190.0,500.0,3.0,2015-Q3,1.135135135135135,Q3,Summer,Northeast,2015,7.2,1.0,0.1,,1.1,0.7,2015
New Mexico,6500.0,6500.0,1600.0,25.0,1300.0,650.0,10.0,2015-Q3,24.615384615384617,Q3,Summer,West,2015,61.2,55.0,55.0,58.0,55.5,0.7,2015
New York,44000.0,47000.0,6500.0,14.0,4400.0,7000.0,15.0,2015-Q3,13.829787234042554,Q3,Summer,Northeast,2015,40.0,14.3,5.7,17.1,8.8,1.5,2015
North Carolina,24000.0,24000.0,2900.0,12.0,2500.0,1100.0,5.0,2015-Q3,12.083333333333334,Q3,Summer,South,2015,33.9,27.9,0.7,7.5,5.7,8.5,2015
North Dakota,460000.0,500000.0,93000.0,19.0,11000.0,22000.0,4.0,2015-Q3,18.6,Q3,Summer,Midwest,2015,33.8,15.5,8.1,12.3,4.1,3.7,2015
Ohio,23000.0,23000.0,1900.0,8.0,2300.0,880.0,4.0,2015-Q3,8.26086956521739,Q3,Summer,Midwest,2015,30.7,8.0,0.6,23.4,1.6,1.7,2015
Oklahoma,19500.0,22000.0,230.0,1.0,160.0,190.0,1.0,2015-Q3,1.0454545454545454,Q3,Summer,South,2015,1.6,2.3,0.1,0.1,0.6,0.4,2015
Oregon,68000.0,100000.0,8500.0,9.0,8000.0,21000.0,21.0,2015-Q3,8.5,Q3,Summer,West,2015,56.0,20.8,5.2,3.1,4.8,3.8,2015
Pennsylvania,25000.0,25000.0,1800.0,7.0,1800.0,2400.0,10.0,2015-Q3,7.199999999999999,Q3,Summer,Northeast,2015,45.1,11.3,3.7,5.1,7.2,0.8,2015
South Carolina,12000.0,12000.0,2000.0,17.0,880.0,580.0,5.0,2015-Q3,16.666666666666664,Q3,Summer,South,2015,58.4,31.0,18.3,14.7,3.9,3.0,2015
South Dakota,295000.0,295000.0,53000.0,18.0,2100.0,13000.0,4.0,2015-Q3,17.966101694915253,Q3,Summer,Midwest,2015,22.0,7.3,2.0,7.1,1.9,5.7,2015
Tennessee,10000.0,10000.0,1200.0,12.0,500.0,350.0,4.0,2015-Q3,12.0,Q3,Summer,South,2015,50.8,38.4,0.5,4.8,2.2,1.0,2015
Texas,76000.0,136000.0,16500.0,12.0,5500.0,4800.0,4.0,2015-Q3,12.132352941176471,Q3,Summer,South,2015,30.7,26.0,1.3,19.4,4.7,5.2,2015
Utah,31000.0,36000.0,8000.0,22.0,1400.0,2200.0,6.0,2015-Q3,22.22222222222222,Q3,Summer,West,2015,40.1,25.0,41.6,33.6,3.6,0.1,2015
Vermont,6000.0,6500.0,40.0,1.0,30.0,20.0,,2015-Q3,0.6153846153846154,Q3,Summer,Northeast,2015,22.7,0.5,,,0.4,,2015
Virginia,8000.0,8000.0,680.0,9.0,520.0,220.0,3.0,2015-Q3,8.5,Q3,Summer,South,2015,29.0,14.2,1.3,3.7,3.5,8.9,2015
Washington,84000.0,97000.0,11500.0,12.0,1800.0,20000.0,21.0,2015-Q3,11.855670103092782,Q3,Summer,West,2015,45.6,3.7,2.3,1.4,3.8,0.3,2015
West Virginia,7000.0,7000.0,300.0,4.0,300.0,270.0,4.0,2015-Q3,4.285714285714286,Q3,Summer,South,2015,21.7,5.3,1.0,1.5,3.0,1.1,2015
Wisconsin,60000.0,62000.0,9000.0,15.0,1300.0,4300.0,7.0,2015-Q3,14.516129032258066,Q3,Summer,Midwest,2015,47.3,20.1,8.3,20.9,12.6,13.5,2015
Wyoming,29000.0,35000.0,2500.0,7.0,270.0,440.0,1.0,2015-Q3,7.142857142857142,Q3,Summer,West,2015,28.5,11.0,6.4,3.4,2.0,0.4,2015
Other,12180.0,12280.0,900.0,7.0,1050.0,700.0,6.0,2015-Q3,7.32899022801303,Q3,Summer,Other,2015,8.8,0.2,,0.4,0.7,0.2,2015
Alabama,8000.0,8000.0,610.0,8.0,80.0,60.0,1.0,2015-Q4,7.625,Q4,Fall,South,2015,3.1,6.4,0.2,0.2,2.8,1.9,2015
Arizona,36000.0,39000.0,12000.0,31.0,3000.0,16000.0,41.0,2015-Q4,30.76923076923077,Q4,Fall,West,2015,50.1,1.7,1.1,3.5,0.5,15.5,2015
Arkansas,23000.0,27000.0,2400.0,9.0,1900.0,0.0,0.0,2015-Q4,8.88888888888889,Q4,Fall,South,2015,38.1,9.7,0.1,8.2,8.5,0.6,2015
California,750000.0,1260000.0,149000.0,12.0,39000.0,75000.0,6.0,2015-Q4,11.825396825396824,Q4,Fall,West,2015,37.3,12.7,6.2,11.7,10.5,7.3,2015
Colorado,24000.0,24000.0,2500.0,10.0,3400.0,0.0,0.0,2015-Q4,10.416666666666668,Q4,Fall,West,2015,47.6,24.4,21.2,19.7,8.4,1.8,2015
Connecticut,3200.0,3200.0,210.0,7.0,40.0,70.0,2.0,2015-Q4,6.5625,Q4,Fall,Northeast,2015,10.5,1.7,0.5,1.1,3.4,2.0,2015
Florida,220000.0,260000.0,37000.0,14.0,30000.0,28000.0,11.0,2015-Q4,14.23076923076923,Q4,Fall,South,2015,27.3,18.4,2.5,6.8,3.0,4.2,2015
Georgia,110000.0,121000.0,18000.0,15.0,4400.0,1900.0,2.0,2015-Q4,14.87603305785124,Q4,Fall,South,2015,43.5,13.9,5.3,4.5,3.7,1.3,2015
Hawaii,13000.0,13000.0,690.0,5.0,2700.0,760.0,6.0,2015-Q4,5.3076923076923075,Q4,Fall,West,2015,31.0,33.9,0.2,,,,2015
Idaho,121000.0,145000.0,22000.0,15.0,5500.0,5500.0,4.0,2015-Q4,15.172413793103448,Q4,Fall,West,2015,38.9,0.6,4.3,4.0,2.8,4.5,2015
Illinois,14000.0,14000.0,690.0,5.0,0.0,30.0,,2015-Q4,4.928571428571429,Q4,Fall,Midwest,2015,9.4,2.5,0.3,0.9,1.0,3.1,2015
